Height
6-8
6-0
6-11
6-9
6-11
6-3
6-6
6-4
6-11
6-8
6-9
6-11
6-10
6-6
6-7
6-2
6-7
6-3
6-8
5-11
6-9
6-11
6-10
6-6
6-11
6-7
6-6
7-0
6-5
6-8
6-6
6-6
6-8
6-8
6-10
6-4
6-8
6-4
6-4
6-8
6-5
6-10
6-1
6-7
6-7
6-9
6-11
(born Bismack Biyombo Sumba)
6-10
6-1
6-4
6-6
6-7
7-2
6-10
6-2
6-8
6-5
6-9
6-6
6-3
6-10
6-5
6-6
6-6
6-6
6-10
6-7
6-5
6-3
6-7
6-4
6-6
6-6
7-2
6-5
6-6
6-1
6-5
6-10
6-6
6-0
6-6
6-7
6-9
6-7
6-5
5-10
6-8
6-2
6-10
6-9
6-1
6-10
6-5
6-4
"(Born Willie Durmond Cauley, Jr.)"
5-11
6-9
6-6
6-8
6-4
6-11
6-7
6-9
6-1
6-5
6-1
6-8
6-10
6-7
6-7
6-6
6-6
6-2
6-2
6-6
6-10
6-9
6-4
6-8
7-0
6-3
6-6
6-9
6-5
6-10
6-5
6-4
6-7
6-3
6-5
6-2
6-8
6-6
6-3
6-10
6-6
6-3
6-10
6-4
5-11
6-6
6-10
6-4
7-0
6-6
6-9
6-5
7-6
6-9
6-11
6-6
6-9
6-0
6-7
6-8
6-1
6-2
6-4
6-7
6-3
6-7
6-0
"(Born Enes Kanter, changed to Enes Freedom in 2021)"
6-3
6-9
6-10
6-10
6-1
6-1
(born Marc Gasol Sáez)
6-8
6-8
6-9
6-11
6-6
6-7
6-9
7-1
6-0
6-8
6-3
6-1
6-8
6-6
6-6
6-8
6-4
6-8
6-5
6-9
6-1
6-8
6-3
6-5
6-9
6-9
6-4
6-5
6-5
6-7
5-10
6-7
6-4
6-5
6-6
6-8
6-7
6-5
7-0
6-8
6-11
6-5
6-7
6-9
6-11
6-5
6-4
6-4
6-6
6-5
6-8
6-0
6-3
6-6
6-6
6-10
6-8
(born Alfred Joel Horford Reynoso)
6-4
6-6
6-10
5-10
6-7
6-5
6-8
6-6
(born Serge Jonas Ibaka Ngobila)
6-6
6-9
6-8
6-8
6-2
6-6
6-3
6-11
6-8
6-8
6-2
6-7
6-9
6-1
6-5
6-5
6-4
6-7
6-8
6-7
6-5
6-6
6-3
6-11
6-11
6-5
6-4
6-1
6-0
6-11
6-3
6-9
7-0
6-5
6-7
6-10
6-10
6-7
6-5
6-7
7-2
6-9
6-9
6-6
6-5
6-4
6-5
6-8
6-10
6-4
6-5
6-2
7-0
6-7
7-0
6-6
6-1
6-2
6-5
6-9
7-0
7-0
6-5
6-8
6-0
6-7
6-9
6-10
7-0
6-4
6-3
6-5
6-2
7-3
7-0
6-7
6-5
6-5
6-3
6-5
6-6
5-11
6-5
6-4
6-4
6-2
6-4
6-7
6-3
6-1
6-9
6-9
6-7
6-6
7-0
6-4
6-7
5-11
6-3
6-9
6-2
6-4
6-9
6-7
6-6
6-1
6-7
6-5
6-1
6-4
6-3
6-3
6-3
6-7
6-8
6-9
6-2
6-3
6-4
6-3
6-10
6-7
6-5
6-7
6-5
6-1
6-7
6-9
6-11
6-4
6-4
6-2
6-7
6-11
6-5
6-8
6-4
6-6
6-10
6-6
6-4
6-8
6-5
6-8
6-4
6-8
6-11
6-5
6-7
6-8
6-7
6-8
6-6
7-1
6-8
6-11
6-0
6-1
6-3
6-3
6-10
6-8
6-5
6-11
7-1
7-0
7-0
6-4
6-11
6-4
6-10
6-8
6-10
7-3
6-10
6-3
(Full name is Taurean Waller-Prince)
6-1
6-3
6-3
6-2
6-8
6-8
6-3
6-9
6-9
6-7
7-0
6-5
6-2
6-4
6-7
6-7
6-6
6-4
6-1
7-0
6-8
6-1
6-2
6-6
6-1
(born Ricard Rubio i Vives)
6-4
6-11
6-10
6-7
6-10
6-7
6-3
6-7
6-5
6-1
6-4
6-5
6-9
6-8
6-11
6-3
6-8
6-10
6-3
6-2
6-0
6-10
6-6
6-10
6-5
6-6
6-8
6-5
6-4
6-4
6-8
6-3
6-5
6-2
6-8
6-5
5-9
6-3
6-4
6-9
6-4
6-5
6-9
6-8
6-8
6-9
6-6
6-7
6-11
6-5
(P.J. stands for nickname Pops Junior)
6-3
6-11
6-11
6-4
6-9
6-1
6-10
6-5
6-3
6-10
6-10
6-9
6-11
6-0
6-4
6-3
6-3
6-8
6-7
6-9
5-10
6-6
6-3
6-3
6-5
6-4
7-0
6-8
6-7
6-6
6-6
6-1
6-7
6-8
6-6
6-10
6-6
6-6
6-1
7-0
6-10
6-6
6-5
6-8
6-1
6-11
7-0
6-1
6-3
6-3
6-2
6-8
6-8
6-3
6-3
6-3
6-9
6-9
6-7
6-7
6-7
7-0
6-5
6-2
6-4
6-4
6-4
6-7
6-7
6-6
6-4
6-1
7-0
6-8
6-1
6-1
6-1
6-2
6-2
6-2
6-6
6-1
(born Ricard Rubio i Vives)
6-4
6-11
6-10
6-7
6-10
6-7
6-3
6-7
6-5
6-1
6-4
6-5
6-9
6-8
6-8
6-8
6-11
6-3
6-8
6-10
6-3
6-2
6-2
6-2
6-0
6-10
6-6
6-10
6-5
6-6
6-8
6-5
6-4
6-4
6-8
6-3
6-3
6-3
6-5
6-2
6-8
6-8
6-8
6-5
6-5
6-5
5-9
6-3
6-4
6-4
6-4
6-9
6-4
6-4
6-4
6-5
6-9
6-8
6-8
6-9
6-6
6-7
6-11
6-5
6-5
6-5
(P.J. stands for nickname Pops Junior)
(P.J. stands for nickname Pops Junior)
(P.J. stands for nickname Pops Junior)
6-3
6-11
6-11
6-4
6-9
6-1
6-10
6-5
6-3
6-10
6-10
6-10
6-10
6-9
6-11
6-11
6-11
6-11
6-0
6-4
6-3
6-3
6-3
6-3
6-8
6-7
6-9
5-10
6-6
6-3
6-3
6-5
6-4
7-0
6-8
6-7
6-6
6-6
6-1
6-1
6-1
6-7
6-8
6-6
6-10
6-10
6-10
6-6
6-6
6-1
7-0
6-10
6-6
6-5
6-5
6-5
6-8
6-1
6-11
7-0
