Weight
225lb
225lb
265lb
255lb
250lb
195lb
205lb
198lb
243lb
220lb
230lb
242lb
200lb
219lb
238lb
185lb
232lb
195lb
215lb
183lb
210lb
250lb
280lb
221lb
235lb
180lb
190lb
231lb
215lb
225lb
214lb
181lb
229lb
230lb
260lb
195lb
208lb
207lb
187lb
216lb
210lb
225lb
180lb
215lb
215lb
233lb
250lb
255lb
234lb
214lb
200lb
220lb
226lb
220lb
249lb
180lb
180lb
206lb
200lb
190lb
180lb
248lb
250lb
221lb
209lb
225lb
230lb
210lb
229lb
195lb
225lb
202lb
199lb
223lb
245lb
219lb
215lb
190lb
210lb
248lb
205lb
185lb
214lb
230lb
218lb
240lb
204lb
195lb
236lb
183lb
240lb
270lb
200lb
270lb
190lb
186lb
240lb
175lb
240lb
225lb
215lb
194lb
215lb
210lb
235lb
175lb
209lb
180lb
255lb
270lb
209lb
221lb
235lb
195lb
185lb
185lb
200lb
253lb
218lb
201lb
232lb
245lb
200lb
220lb
228lb
202lb
252lb
215lb
203lb
230lb
215lb
210lb
185lb
230lb
205lb
190lb
279lb
237lb
205lb
240lb
225lb
200lb
200lb
240lb
207lb
280lb
215lb
245lb
214lb
311lb
265lb
270lb
190lb
240lb
178lb
220lb
230lb
175lb
205lb
210lb
205lb
185lb
225lb
170lb
250lb
209lb
205lb
234lb
233lb
200lb
192lb
255lb
250lb
220lb
232lb
240lb
180lb
230lb
245lb
258lb
180lb
235lb
215lb
195lb
210lb
215lb
230lb
227lb
205lb
235lb
200lb
250lb
167lb
230lb
190lb
185lb
232lb
190lb
175lb
205lb
220lb
220lb
175lb
240lb
210lb
195lb
220lb
226lb
190lb
215lb
250lb
235lb
220lb
195lb
225lb
214lb
250lb
195lb
220lb
188lb
226lb
210lb
216lb
185lb
205lb
180lb
217lb
235lb
208lb
240lb
234lb
220lb
265lb
175lb
190lb
215lb
225lb
210lb
235lb
215lb
235lb
220lb
190lb
195lb
195lb
205lb
242lb
207lb
220lb
208lb
190lb
250lb
189lb
230lb
195lb
165lb
212lb
210lb
240lb
220lb
242lb
186lb
284lb
245lb
210lb
200lb
185lb
196lb
265lb
200lb
250lb
240lb
206lb
205lb
240lb
253lb
215lb
210lb
202lb
250lb
228lb
221lb
227lb
180lb
216lb
200lb
209lb
222lb
185lb
210lb
183lb
250lb
225lb
260lb
205lb
170lb
195lb
220lb
222lb
282lb
281lb
188lb
251lb
196lb
220lb
234lb
234lb
221lb
175lb
190lb
215lb
190lb
290lb
240lb
220lb
205lb
205lb
185lb
230lb
215lb
190lb
215lb
200lb
220lb
200lb
205lb
181lb
190lb
190lb
185lb
205lb
225lb
195lb
270lb
205lb
215lb
185lb
195lb
236lb
200lb
205lb
225lb
222lb
225lb
180lb
257lb
205lb
215lb
190lb
200lb
191lb
174lb
232lb
218lb
245lb
183lb
184lb
180lb
215lb
240lb
205lb
225lb
245lb
215lb
180lb
230lb
240lb
220lb
201lb
200lb
190lb
208lb
290lb
219lb
225lb
226lb
240lb
270lb
229lb
213lb
235lb
225lb
215lb
213lb
239lb
240lb
206lb
230lb
240lb
203lb
245lb
255lb
229lb
235lb
241lb
175lb
183lb
195lb
190lb
231lb
250lb
212lb
254lb
245lb
235lb
190lb
194lb
240lb
203lb
218lb
198lb
250lb
240lb
240lb
215lb
218lb
195lb
190lb
190lb
185lb
250lb
218lb
200lb
210lb
264lb
225lb
245lb
200lb
190lb
200lb
210lb
215lb
222lb
190lb
195lb
240lb
230lb
180lb
200lb
206lb
190lb
190lb
193lb
240lb
227lb
214lb
225lb
210lb
172lb
237lb
220lb
190lb
190lb
215lb
230lb
234lb
240lb
181lb
190lb
215lb
220lb
205lb
175lb
215lb
213lb
215lb
190lb
230lb
250lb
215lb
196lb
230lb
210lb
195lb
195lb
160lb
245lb
185lb
185lb
210lb
190lb
254lb
215lb
201lb
220lb
245lb
240lb
220lb
209lb
197lb
248lb
209lb
245lb
209lb
